priority,category,target,domain,url,angle,status,next_action,primary_link,notes
P0,Editorial,Payments Dive Opinion,paymentsdive.com,https://www.paymentsdive.com/opinion/,"Opinion on payment modernization, settlement, cross-border or AI in payment operations",ready_to_pitch,"Submit one opinion pitch through form",https://rzifi.com/blog/product-management-for-payments-platforms/,"Editorial page openly invites opinion submissions."
P0,Editorial,Finextra Expert Opinions,finextra.com,https://www.finextra.com/latest-blogs,"Practitioner opinion on payments infrastructure, AI in fintech or ISO 20022",ready_to_pitch,"Create profile and submit expert opinion",https://rzifi.com/topics/swift-iso-20022/,"Strong fintech community and expert-opinion surface."
P0,Editorial,ProdPad Contributor Program,prodpad.com,https://www.prodpad.com/contribute/,"Product management in regulated fintech and payments",ready_to_pitch,"Pitch practitioner post",https://rzifi.com/blog/product-management-for-payments-platforms/,"Explicitly asks for practitioner-led product thinking."
P0,Podcast,The Payments Shed,thepaymentsshed.com,https://www.thepaymentsshed.com/,"Scaling payment infrastructure across complex markets",ready_to_pitch,"Submit collaboration/podcast inquiry",https://rzifi.com/product-work/simpaisa-payment-infrastructure/,"Payments-focused podcast with collaboration form."
P0,Podcast,11FS Fintech Insider,11fs.com,https://www.11fs.com/insights/fintech-insider,"MENA fintech infrastructure, stablecoins, payments ops or AI in finance",ready_to_pitch,"Pitch as news/insights guest via LinkedIn/media contact",https://rzifi.com/product-work/cross-border-corridors-fx/,"High-authority fintech podcast."
P0,Podcast,PaymentsJournal Podcast,paymentsjournal.com,https://www.paymentsjournal.com/podcast-2/,"Settlement, reconciliation, real-time payments and stablecoin payment infrastructure",ready_to_pitch,"Pitch expert guest angle",https://rzifi.com/product-work/settlement-reconciliation/,"Payments publication with podcast surface."
P0,Expert source,Qwoted,qwoted.com,https://www.qwoted.com/,"Expert profile for payments, fintech, AI and product leadership",ready_to_create,"Create source profile and monitor requests",https://rzifi.com/,"Journalist-source platform; use authority kit."
P0,Expert source,Featured,featured.com,https://featured.com/expert-questions,"Expert answers for fintech, product, AI and payments roundups",ready_to_create,"Create expert profile and answer 3 requests weekly",https://rzifi.com/,"Useful for quote-based mentions."
P0,Expert source,SourceBottle,sourcebottle.com,https://www.sourcebottle.com/,"Expert profile and media-source monitoring",ready_to_create,"Create expert profile",https://rzifi.com/,"Good for source requests; avoid generic answers."
P1,Editorial,The Fintech Times,thefintechtimes.com,https://thefintechtimes.com/about/,"Expert commentary on paytech, AI, cross-border payments and MENA fintech",draft_pitch,"Pitch op-ed or interview",https://rzifi.com/product-work/cross-border-corridors-fx/,"Use editor contact only with high-quality idea."
